Training loss,Validation loss,F1 Score,Agree true,Agree total,Disagree true,Disagree total,No stance true,No stance total,Not relevant true,Not relevant total
1.151944392,1.038798352,0.512634277,147,182,12,106,0,77,192,235
0.947134016,0.952129759,0.628417989,117,182,70,106,13,77,183,235
0.717447659,1.097267276,0.619024105,80,182,74,106,21,77,209,235
0.554805011,1.314790587,0.663258967,118,182,60,106,28,77,193,235
0.417396607,1.532074586,0.680291787,121,182,70,106,27,77,193,235
0.356654121,1.717544044,0.647820276,101,182,66,106,25,77,203,235
0.288036065,1.909575776,0.626061406,79,182,77,106,39,77,180,235
0.205809325,1.943642514,0.666300028,114,182,70,106,36,77,176,235
0.153399223,2.05506678,0.665962128,121,182,65,106,34,77,178,235
0.136093552,2.109833529,0.658285563,106,182,70,106,33,77,185,235
0.101475635,2.150596889,0.659499864,107,182,68,106,29,77,195,235
0.0973573,2.397295348,0.649334377,87,182,79,106,38,77,187,235
0.084240159,2.38845098,0.65264505,90,182,74,106,39,77,189,235
0.075122355,2.354485813,0.659812596,100,182,76,106,34,77,189,235
0.046055557,2.422482864,0.665585627,112,182,69,106,34,77,183,235
